2.48.0.0 255.252.0.0
2.56.16.0 255.255.252.0
2.59.0.0 255.255.252.0
5.30.0.0 255.254.0.0
5.32.0.0 255.255.128.0
5.38.0.0 255.255.128.0
5.53.96.0 255.255.248.0
5.83.112.0 255.255.248.0
5.107.0.0 255.255.0.0
5.133.80.0 255.255.252.0
5.152.248.0 255.255.248.0
5.182.124.0 255.255.252.0
5.192.0.0 255.254.0.0
5.194.0.0 255.255.128.0
5.194.128.0 255.255.192.0
5.194.192.0 255.255.224.0
5.194.224.0 255.255.240.0
5.194.240.0 255.255.248.0
5.194.248.0 255.255.252.0
5.194.252.0 255.255.252.0
5.195.0.0 255.255.0.0
31.29.64.0 255.255.224.0
31.47.88.0 255.255.248.0
31.215.0.0 255.255.0.0
31.218.0.0 255.254.0.0
37.218.224.0 255.255.248.0
37.245.0.0 255.255.0.0
45.11.160.0 255.255.252.0
45.13.248.0 255.255.252.0
45.15.172.0 255.255.252.0
45.66.244.0 255.255.252.0
45.67.60.0 255.255.252.0
45.81.24.0 255.255.252.0
45.82.40.0 255.255.252.0
45.83.96.0 255.255.252.0
45.85.108.0 255.255.252.0
45.87.48.0 255.255.252.0
45.91.164.0 255.255.252.0
45.94.96.0 255.255.252.0
