153.89.0.0 255.255.0.0
192.69.64.0 255.255.255.0
199.103.123.0 255.255.255.0
199.103.124.0 255.255.252.0
204.79.170.0 255.255.255.0
204.79.204.0 255.255.255.0
204.231.231.0 255.255.255.0
2.56.171.0 255.255.255.0
2.57.40.0 255.255.252.0
2.58.108.0 255.255.252.0
2.59.64.0 255.255.252.0
5.23.128.0 255.255.128.0
5.134.0.0 255.255.248.0
5.149.136.0 255.255.252.0
5.149.140.0 255.255.254.0
5.149.142.0 255.255.255.0
5.149.143.0 255.255.255.0
5.183.52.0 255.255.252.0
5.183.236.0 255.255.252.0
5.255.128.0 255.255.248.0
31.12.64.0 255.255.248.0
31.14.50.0 255.255.254.0
31.22.16.0 255.255.248.0
31.24.112.0 255.255.248.0
31.24.249.0 255.255.255.0
31.31.128.0 255.255.224.0
31.193.40.0 255.255.248.0
31.193.176.0 255.255.248.0
31.216.58.0 255.255.255.0
37.19.8.0 255.255.248.0
37.44.240.0 255.255.252.0
37.58.40.0 255.255.248.0
37.62.0.0 255.255.0.0
37.72.160.0 255.255.248.0
37.123.232.0 255.255.248.0
37.143.0.0 255.255.248.0
37.148.176.0 255.255.248.0
37.184.0.0 255.254.0.0
37.208.56.0 255.255.248.0
37.208.88.0 255.255.248.0
37.228.72.0 255.255.248.0
37.230.120.0 255.255.248.0
45.13.100.0 255.255.252.0
45.13.116.0 255.255.252.0
45.85.20.0 255.255.252.0
45.85.28.0 255.255.252.0
45.86.92.0 255.255.252.0
45.87.76.0 255.255.252.0
45.91.123.0 255.255.255.0
45.91.140.0 255.255.252.0
45.92.196.0 255.255.252.0
45.129.68.0 255.255.252.0
45.138.120.0 255.255.252.0
45.138.168.0 255.255.252.0
45.148.49.0 255.255.255.0
45.149.64.0 255.255.252.0
45.149.96.0 255.255.252.0
45.152.68.0 255.255.252.0
45.152.80.0 255.255.252.0
45.153.152.0 255.255.252.0
45.154.96.0 255.255.252.0
45.156.152.0 255.255.252.0
46.16.240.0 255.255.248.0
46.18.32.0 255.255.255.0
46.18.33.0 255.255.255.0
46.18.34.0 255.255.254.0
46.18.36.0 255.255.252.0
46.19.0.0 255.255.248.0
46.28.40.0 255.255.248.0
46.31.88.0 255.255.248.0
46.178.0.0 255.254.0.0
46.182.192.0 255.255.248.0
46.243.24.0 255.255.248.0
46.253.160.0 255.255.240.0
62.3.50.0 255.255.255.0
62.4.128.0 255.255.224.0
62.4.160.0 255.255.224.0
62.4.192.0 255.255.192.0
62.88.0.0 255.255.128.0
62.112.14.0 255.255.254.0
62.112.16.0 255.255.248.0
62.112.29.0 255.255.255.0
62.112.31.0 255.255.255.0
62.122.36.0 255.255.252.0
62.197.64.0 255.255.192.0
62.205.64.0 255.255.192.0
62.213.192.0 255.255.192.0
62.233.0.0 255.255.224.0
62.235.0.0 255.255.0.0
77.72.232.0 255.255.248.0
77.73.96.0 255.255.248.0
77.73.176.0 255.255.248.0
77.74.88.0 255.255.248.0
77.109.64.0 255.255.192.0
77.241.80.0 255.255.240.0
77.246.241.0 255.255.255.0
77.247.192.0 255.255.255.0
78.20.0.0 255.252.0.0
78.24.120.0 255.255.248.0
78.24.168.0 255.255.248.0
78.29.192.0 255.255.192.0
78.40.96.0 255.255.248.0
78.41.64.0 255.255.248.0
78.110.192.0 255.255.240.0
78.129.0.0 255.255.128.0
79.99.120.0 255.255.248.0
79.99.200.0 255.255.248.0
79.132.224.0 255.255.224.0
79.142.176.0 255.255.252.0
79.174.128.0 255.255.248.0
80.65.128.0 255.255.240.0
80.66.128.0 255.255.240.0
80.84.16.0 255.255.240.0
80.90.208.0 255.255.240.0
80.91.144.0 255.255.240.0
