2.16.0.0 255.248.0.0
5.23.0.0 255.255.224.0
5.34.240.0 255.255.248.0
5.104.64.0 255.255.248.0
5.153.232.0 255.255.248.0
5.157.0.0 255.255.192.0
5.181.200.0 255.255.252.0
5.226.144.0 255.255.248.0
31.25.234.0 255.255.254.0
31.25.236.0 255.255.252.0
37.26.112.0 255.255.240.0
37.139.64.0 255.255.248.0
37.235.48.0 255.255.240.0
37.244.0.0 255.255.192.0
37.252.160.0 255.255.240.0
45.11.104.0 255.255.252.0
45.12.68.0 255.255.252.0
45.43.64.0 255.255.224.0
45.85.116.0 255.255.252.0
45.135.52.0 255.255.252.0
45.139.192.0 255.255.252.0
45.142.244.0 255.255.252.0
45.148.116.0 255.255.252.0
45.157.116.0 255.255.252.0
46.22.64.0 255.255.240.0
46.31.232.0 255.255.248.0
46.58.0.0 255.255.128.0
46.234.32.0 255.255.224.0
46.235.152.0 255.255.248.0
62.51.0.0 255.255.0.0
62.62.0.0 255.255.128.0
62.78.0.0 255.255.224.0
62.102.0.0 255.255.128.0
62.115.0.0 255.255.0.0
62.133.32.0 255.255.252.0
62.134.0.0 255.255.0.0
62.180.0.0 255.255.224.0
62.180.32.0 255.255.224.0
62.180.64.0 255.255.192.0
62.180.128.0 255.255.128.0
62.184.0.0 255.255.0.0
62.185.0.0 255.255.0.0
62.186.0.0 255.255.0.0
62.187.0.0 255.255.0.0
62.200.0.0 255.255.0.0
62.229.0.0 255.255.0.0
66.203.124.0 255.255.252.0
77.81.124.0 255.255.252.0
77.81.160.0 255.255.252.0
77.243.176.0 255.255.240.0
78.108.112.0 255.255.240.0
78.142.192.0 255.255.252.0
80.66.196.0 255.255.252.0
80.67.64.0 255.255.240.0
80.67.80.0 255.255.240.0
80.81.128.0 255.255.240.0
80.84.16.0 255.255.240.0
80.86.160.0 255.255.240.0
80.86.176.0 255.255.240.0
80.91.240.0 255.255.240.0
80.231.0.0 255.255.0.0
80.239.128.0 255.255.240.0
80.239.144.0 255.255.240.0
80.239.160.0 255.255.240.0
80.239.176.0 255.255.240.0
80.239.192.0 255.255.240.0
80.239.208.0 255.255.240.0
80.239.224.0 255.255.240.0
80.239.240.0 255.255.240.0
80.240.128.0 255.255.240.0
81.209.128.0 255.255.128.0
82.129.0.0 255.255.128.0
82.138.128.0 255.255.192.0
82.150.0.0 255.255.224.0
82.196.32.0 255.255.224.0
82.197.128.0 255.255.224.0
83.124.0.0 255.252.0.0
83.133.0.0 255.255.0.0
83.143.240.0 255.255.248.0
84.39.112.0 255.255.248.0
84.39.152.0 255.255.248.0
84.40.0.0 255.255.224.0
84.40.32.0 255.255.248.0
84.40.48.0 255.255.248.0
84.53.128.0 255.255.192.0
84.247.36.0 255.255.252.0
85.90.244.0 255.255.252.0
85.91.44.0 255.255.252.0
85.202.203.0 255.255.255.0
85.204.148.0 255.255.252.0
85.204.160.0 255.255.252.0
86.105.32.0 255.255.248.0
86.105.227.0 255.255.255.0
86.106.102.0 255.255.255.0
87.239.249.0 255.255.255.0
87.239.250.0 255.255.254.0
87.239.252.0 255.255.254.0
88.221.0.0 255.255.0.0
89.30.0.0 255.255.128.0
89.33.6.0 255.255.254.0
89.36.255.0 255.255.255.0
89.42.155.0 255.255.255.0
91.200.240.0 255.255.252.0
92.60.40.0 255.255.252.0
92.114.48.0 255.255.252.0
92.122.0.0 255.254.0.0
93.174.208.0 255.255.248.0
93.184.208.0 255.255.240.0
93.191.168.0 255.255.248.0
93.191.216.0 255.255.248.0
94.102.160.0 255.255.240.0
94.124.116.0 255.255.252.0
94.127.72.0 255.255.248.0
94.177.4.0 255.255.254.0
95.85.0.0 255.255.192.0
95.100.0.0 255.254.0.0
95.130.112.0 255.255.248.0
107.161.160.0 255.255.240.0
107.181.128.0 255.255.224.0
109.69.136.0 255.255.248.0
109.72.144.0 255.255.240.0
109.94.168.0 255.255.252.0
109.106.160.0 255.255.224.0
109.233.176.0 255.255.248.0
109.237.24.0 255.255.252.0
134.0.72.0 255.255.248.0
141.101.64.0 255.255.192.0
146.66.152.0 255.255.248.0
149.62.44.0 255.255.252.0
149.154.152.0 255.255.248.0
151.236.0.0 255.255.224.0
151.249.88.0 255.255.248.0
155.254.32.0 255.255.224.0
158.255.208.0 255.255.248.0
162.217.248.0 255.255.252.0
162.220.240.0 255.255.248.0
164.153.132.0 255.255.252.0
176.10.80.0 255.255.248.0
176.113.68.0 255.255.252.0
176.119.148.0 255.255.252.0
178.62.0.0 255.255.0.0
178.79.192.0 255.255.192.0
185.3.28.0 255.255.252.0
185.10.104.0 255.255.252.0
185.16.216.0 255.255.252.0
185.25.180.0 255.255.252.0
185.26.236.0 255.255.252.0
185.27.228.0 255.255.252.0
185.29.8.0 255.255.252.0
185.31.16.0 255.255.252.0
185.32.192.0 255.255.252.0
185.33.4.0 255.255.252.0
185.36.20.0 255.255.252.0
185.36.140.0 255.255.252.0
185.42.204.0 255.255.252.0
185.43.52.0 255.255.252.0
185.44.80.0 255.255.252.0
185.45.8.0 255.255.252.0
185.53.128.0 255.255.252.0
185.55.208.0 255.255.252.0
185.57.56.0 255.255.252.0
185.60.84.0 255.255.252.0
185.60.236.0 255.255.252.0
185.63.76.0 255.255.252.0
185.83.216.0 255.255.252.0
185.86.224.0 255.255.252.0
185.86.228.0 255.255.252.0
185.98.158.0 255.255.255.0
185.114.225.0 255.255.255.0
185.114.226.0 255.255.254.0
185.115.124.0 255.255.252.0
185.115.128.0 255.255.252.0
185.115.240.0 255.255.252.0
185.117.20.0 255.255.252.0
185.119.252.0 255.255.252.0
185.120.4.0 255.255.252.0
185.120.12.0 255.255.252.0
185.120.20.0 255.255.252.0
185.120.32.0 255.255.252.0
185.122.36.0 255.255.252.0
185.122.56.0 255.255.252.0
185.135.212.0 255.255.252.0
185.175.204.0 255.255.252.0
185.200.64.0 255.255.252.0
185.213.148.0 255.255.252.0
185.222.220.0 255.255.252.0
185.229.132.0 255.255.252.0
185.231.112.0 255.255.252.0
185.238.188.0 255.255.252.0
185.248.84.0 255.255.252.0
188.114.96.0 255.255.240.0
188.226.128.0 255.255.128.0
193.27.64.0 255.255.254.0
193.31.208.0 255.255.240.0
193.108.64.0 255.255.248.0
193.124.20.0 255.255.254.0
193.149.192.0 255.255.240.0
193.149.208.0 255.255.248.0
193.149.216.0 255.255.255.0
193.149.218.0 255.255.254.0
193.149.220.0 255.255.252.0
193.149.224.0 255.255.255.0
193.149.226.0 255.255.254.0
193.149.228.0 255.255.252.0
193.149.232.0 255.255.248.0
193.177.220.0 255.255.252.0
193.187.116.0 255.255.252.0
193.254.64.0 255.255.192.0
194.10.0.0 255.255.0.0
194.29.66.0 255.255.255.0
194.29.72.0 255.255.255.0
194.29.76.0 255.255.254.0
194.29.81.0 255.255.255.0
194.29.82.0 255.255.254.0
194.29.84.0 255.255.252.0
194.29.88.0 255.255.248.0
194.29.96.0 255.255.255.0
194.29.102.0 255.255.254.0
