2.24.0.0 255.248.0.0
2.56.188.0 255.255.252.0
2.56.196.0 255.255.252.0
2.57.44.0 255.255.252.0
2.57.116.0 255.255.252.0
2.57.196.0 255.255.252.0
2.57.200.0 255.255.252.0
2.57.240.0 255.255.252.0
2.58.4.0 255.255.252.0
2.58.152.0 255.255.252.0
2.58.160.0 255.255.252.0
2.58.192.0 255.255.252.0
2.59.24.0 255.255.252.0
2.59.200.0 255.255.252.0
2.96.0.0 255.248.0.0
2.120.0.0 255.248.0.0
2.216.0.0 255.248.0.0
5.1.45.0 255.255.255.0
5.2.16.0 255.255.248.0
5.2.96.0 255.255.224.0
5.10.16.0 255.255.240.0
5.10.136.0 255.255.248.0
5.10.144.0 255.255.240.0
5.11.8.0 255.255.248.0
5.11.16.0 255.255.252.0
5.11.20.0 255.255.255.0
5.11.21.0 255.255.255.0
5.11.22.0 255.255.255.0
5.11.23.0 255.255.255.0
5.11.24.0 255.255.248.0
5.11.88.0 255.255.248.0
5.22.136.0 255.255.248.0
5.22.224.0 255.255.248.0
5.28.48.0 255.255.248.0
5.28.56.0 255.255.248.0
5.32.152.0 255.255.248.0
5.35.160.0 255.255.248.0
5.39.176.0 255.255.248.0
5.39.248.0 255.255.248.0
5.44.16.0 255.255.240.0
5.44.224.0 255.255.248.0
5.44.232.0 255.255.248.0
5.45.16.0 255.255.240.0
5.45.48.0 255.255.248.0
5.45.64.0 255.255.224.0
5.53.64.0 255.255.224.0
5.56.48.0 255.255.248.0
5.56.168.0 255.255.248.0
5.57.56.0 255.255.248.0
5.57.80.0 255.255.240.0
5.61.32.0 255.255.224.0
5.61.72.0 255.255.248.0
5.61.120.0 255.255.248.0
5.62.0.0 255.255.192.0
5.63.16.0 255.255.248.0
5.64.0.0 255.248.0.0
5.77.32.0 255.255.224.0
5.79.0.0 255.255.192.0
