2.52.0.0 255.252.0.0
2.57.228.0 255.255.252.0
5.22.128.0 255.255.248.0
5.28.128.0 255.255.192.0
5.29.0.0 255.255.0.0
5.100.248.0 255.255.248.0
5.102.192.0 255.255.192.0
5.104.240.0 255.255.248.0
5.144.48.0 255.255.240.0
5.182.56.0 255.255.252.0
5.182.180.0 255.255.252.0
31.12.76.0 255.255.252.0
31.40.220.0 255.255.252.0
31.40.228.0 255.255.252.0
31.44.128.0 255.255.240.0
31.133.100.0 255.255.252.0
31.154.0.0 255.255.0.0
31.168.0.0 255.255.0.0
31.210.176.0 255.255.240.0
31.220.151.0 255.255.255.0
37.19.112.0 255.255.240.0
37.25.32.0 255.255.248.0
37.26.144.0 255.255.248.0
37.44.200.0 255.255.252.0
37.46.32.0 255.255.240.0
37.60.40.0 255.255.248.0
37.61.224.0 255.255.254.0
37.61.228.0 255.255.252.0
37.122.152.0 255.255.252.0
37.122.156.0 255.255.254.0
37.142.0.0 255.255.0.0
45.8.56.0 255.255.252.0
45.65.100.0 255.255.252.0
45.80.88.0 255.255.252.0
45.83.40.0 255.255.252.0
45.86.112.0 255.255.252.0
45.86.244.0 255.255.252.0
45.87.240.0 255.255.252.0
45.87.248.0 255.255.252.0
45.88.72.0 255.255.252.0
45.91.208.0 255.255.252.0
45.92.168.0 255.255.252.0
45.93.68.0 255.255.252.0
45.94.44.0 255.255.252.0
45.95.92.0 255.255.252.0
45.128.24.0 255.255.252.0
45.128.76.0 255.255.252.0
45.128.244.0 255.255.252.0
