2.32.0.0 255.240.0.0
2.56.92.0 255.255.252.0
2.56.128.0 255.255.252.0
2.57.32.0 255.255.252.0
2.57.84.0 255.255.252.0
2.58.128.0 255.255.252.0
2.58.136.0 255.255.252.0
2.58.184.0 255.255.252.0
2.58.208.0 255.255.252.0
2.59.4.0 255.255.252.0
2.59.16.0 255.255.252.0
2.59.140.0 255.255.252.0
2.59.228.0 255.255.252.0
2.112.0.0 255.248.0.0
2.156.0.0 255.252.0.0
2.192.0.0 255.248.0.0
2.224.0.0 255.240.0.0
5.1.42.0 255.255.255.0
5.1.44.0 255.255.255.0
5.2.0.0 255.255.240.0
5.8.96.0 255.255.224.0
5.11.32.0 255.255.248.0
5.11.96.0 255.255.224.0
5.23.32.0 255.255.248.0
5.28.8.0 255.255.248.0
5.34.184.0 255.255.248.0
5.42.144.0 255.255.248.0
5.43.232.0 255.255.248.0
5.43.248.0 255.255.248.0
5.56.8.0 255.255.248.0
5.57.208.0 255.255.255.0
5.61.0.0 255.255.248.0
5.61.192.0 255.255.248.0
5.61.216.0 255.255.248.0
5.62.72.0 255.255.248.0
5.63.136.0 255.255.248.0
5.63.168.0 255.255.248.0
5.77.64.0 255.255.192.0
5.83.104.0 255.255.248.0
5.83.120.0 255.255.248.0
5.84.0.0 255.252.0.0
5.88.0.0 255.248.0.0
5.96.0.0 255.252.0.0
5.100.232.0 255.255.248.0
5.102.0.0 255.255.224.0
5.104.24.0 255.255.248.0
5.133.48.0 255.255.240.0
5.133.96.0 255.255.252.0
5.133.114.0 255.255.255.0
5.134.120.0 255.255.248.0
5.144.160.0 255.255.240.0
5.144.184.0 255.255.248.0
5.145.120.0 255.255.248.0
5.150.128.0 255.255.240.0
5.152.128.0 255.255.252.0
5.152.144.0 255.255.252.0
5.152.148.0 255.255.254.0
5.152.154.0 255.255.254.0
5.152.156.0 255.255.252.0
5.152.240.0 255.255.248.0
5.154.192.0 255.255.224.0
5.154.237.0 255.255.255.0
5.154.238.0 255.255.255.0
5.157.96.0 255.255.224.0
5.158.64.0 255.255.240.0
5.168.0.0 255.252.0.0
5.172.64.0 255.255.224.0
5.172.96.0 255.255.224.0
5.172.208.0 255.255.248.0
5.175.32.0 255.255.248.0
5.175.48.0 255.255.248.0
5.175.64.0 255.255.240.0
5.178.40.0 255.255.248.0
5.178.88.0 255.255.248.0
5.178.120.0 255.255.248.0
5.179.128.0 255.255.192.0
5.180.68.0 255.255.252.0
5.180.108.0 255.255.252.0
5.180.168.0 255.255.252.0
5.180.204.0 255.255.252.0
5.180.236.0 255.255.252.0
5.181.68.0 255.255.252.0
5.181.144.0 255.255.252.0
5.181.192.0 255.255.252.0
5.182.68.0 255.255.252.0
5.182.240.0 255.255.252.0
5.183.108.0 255.255.252.0
5.198.224.0 255.255.240.0
5.249.128.0 255.255.224.0
5.252.16.0 255.255.252.0
5.252.44.0 255.255.252.0
5.252.84.0 255.255.252.0
5.252.240.0 255.255.252.0
5.253.48.0 255.255.252.0
5.253.196.0 255.255.252.0
5.253.212.0 255.255.252.0
