41.70.0.0 255.255.128.0
41.75.112.0 255.255.240.0
41.77.8.0 255.255.248.0
41.78.56.0 255.255.252.0
41.78.216.0 255.255.252.0
41.78.248.0 255.255.252.0
41.79.88.0 255.255.252.0
41.87.0.0 255.255.224.0
41.190.92.0 255.255.252.0
41.216.228.0 255.255.252.0
41.217.216.0 255.255.252.0
41.221.96.0 255.255.240.0
41.222.184.0 255.255.248.0
45.221.25.0 255.255.255.0
102.36.145.0 255.255.255.0
102.70.0.0 255.254.0.0
102.130.101.0 255.255.255.0
102.176.250.0 255.255.255.0
102.213.28.0 255.255.252.0
102.218.160.0 255.255.252.0
102.219.182.0 255.255.254.0
102.220.250.0 255.255.255.0
102.221.153.0 255.255.255.0
102.223.95.0 255.255.255.0
105.234.0.0 255.255.0.0
129.140.0.0 255.255.0.0
137.64.0.0 255.255.0.0
137.115.0.0 255.255.0.0
137.196.0.0 255.255.0.0
154.66.120.0 255.255.248.0
168.253.224.0 255.255.224.0
169.255.52.0 255.255.252.0
192.145.160.0 255.255.252.0
196.11.80.0 255.255.248.0
196.32.208.0 255.255.248.0
196.45.188.0 255.255.252.0
196.49.72.0 255.255.255.0
196.216.8.0 255.255.248.0
196.223.27.0 255.255.255.0
197.211.96.0 255.255.224.0
