2.16.0.0 255.248.0.0
2.56.56.0 255.255.252.0
2.56.192.0 255.255.252.0
2.56.200.0 255.255.252.0
2.56.216.0 255.255.252.0
2.56.224.0 255.255.252.0
2.57.12.0 255.255.252.0
2.57.56.0 255.255.252.0
2.57.168.0 255.255.252.0
2.58.20.0 255.255.252.0
2.58.56.0 255.255.252.0
2.58.148.0 255.255.252.0
2.58.164.0 255.255.252.0
2.58.212.0 255.255.252.0
2.58.236.0 255.255.252.0
2.59.36.0 255.255.252.0
2.59.88.0 255.255.252.0
2.59.136.0 255.255.252.0
2.59.168.0 255.255.252.0
5.2.64.0 255.255.240.0
5.8.248.0 255.255.255.0
5.8.250.0 255.255.255.0
5.10.64.0 255.255.192.0
5.10.192.0 255.255.255.0
5.10.193.0 255.255.255.0
5.10.194.0 255.255.254.0
5.10.196.0 255.255.252.0
5.11.80.0 255.255.248.0
5.22.204.0 255.255.252.0
5.22.248.0 255.255.248.0
5.34.232.0 255.255.248.0
5.35.176.0 255.255.248.0
5.39.168.0 255.255.248.0
5.39.184.0 255.255.248.0
5.39.216.0 255.255.248.0
5.44.72.0 255.255.248.0
5.44.250.0 255.255.255.0
5.44.251.0 255.255.255.0
5.45.32.0 255.255.252.0
5.57.16.0 255.255.248.0
5.57.213.0 255.255.255.0
5.57.224.0 255.255.248.0
5.57.248.0 255.255.248.0
5.61.248.0 255.255.248.0
5.79.64.0 255.255.192.0
