153.44.0.0 255.255.0.0
2.58.24.0 255.255.252.0
2.148.0.0 255.252.0.0
5.44.64.0 255.255.248.0
5.45.152.0 255.255.248.0
5.83.224.0 255.255.248.0
5.100.176.0 255.255.240.0
5.145.152.0 255.255.248.0
5.153.104.0 255.255.248.0
5.158.192.0 255.255.248.0
5.226.160.0 255.255.248.0
5.249.224.0 255.255.224.0
5.252.244.0 255.255.252.0
31.25.216.0 255.255.248.0
31.45.0.0 255.255.128.0
31.169.48.0 255.255.248.0
31.185.24.0 255.255.248.0
31.186.88.0 255.255.248.0
31.204.72.0 255.255.248.0
31.211.168.0 255.255.248.0
37.18.48.0 255.255.248.0
37.18.64.0 255.255.248.0
37.26.208.0 255.255.240.0
37.28.128.0 255.255.248.0
37.32.48.0 255.255.248.0
37.44.128.0 255.255.192.0
37.143.48.0 255.255.252.0
37.148.144.0 255.255.248.0
37.191.128.0 255.255.128.0
37.200.0.0 255.255.192.0
37.202.24.0 255.255.248.0
37.202.56.0 255.255.248.0
37.228.104.0 255.255.248.0
37.252.112.0 255.255.248.0
37.252.208.0 255.255.248.0
37.253.0.0 255.255.0.0
45.8.8.0 255.255.252.0
45.14.52.0 255.255.252.0
45.15.108.0 255.255.252.0
45.67.8.0 255.255.252.0
45.67.160.0 255.255.252.0
45.80.144.0 255.255.252.0
45.86.236.0 255.255.252.0
45.88.116.0 255.255.252.0
45.89.192.0 255.255.252.0
45.90.36.0 255.255.252.0
45.93.140.0 255.255.252.0
