5.21.0.0 255.255.0.0
5.32.192.0 255.255.192.0
5.36.0.0 255.254.0.0
5.102.176.0 255.255.248.0
5.162.0.0 255.255.0.0
37.28.0.0 255.255.128.0
37.40.0.0 255.254.0.0
37.200.128.0 255.255.128.0
45.95.244.0 255.255.252.0
45.131.140.0 255.255.252.0
45.135.88.0 255.255.252.0
45.140.104.0 255.255.252.0
45.148.200.0 255.255.252.0
46.40.192.0 255.255.192.0
46.255.56.0 255.255.248.0
62.61.160.0 255.255.224.0
62.231.192.0 255.255.192.0
77.83.60.0 255.255.252.0
78.111.32.0 255.255.240.0
82.178.0.0 255.255.224.0
82.178.34.0 255.255.254.0
82.178.36.0 255.255.252.0
82.178.40.0 255.255.248.0
82.178.48.0 255.255.240.0
82.178.64.0 255.255.192.0
82.178.128.0 255.255.240.0
82.178.144.0 255.255.248.0
82.178.152.0 255.255.252.0
82.178.156.0 255.255.254.0
82.178.160.0 255.255.224.0
82.178.192.0 255.255.192.0
84.242.32.0 255.255.240.0
85.154.0.0 255.255.0.0
87.121.168.0 255.255.248.0
91.132.64.0 255.255.252.0
94.176.16.0 255.255.240.0
94.185.0.0 255.255.192.0
96.9.128.0 255.255.224.0
134.0.128.0 255.255.192.0
134.0.192.0 255.255.240.0
134.0.208.0 255.255.248.0
134.0.224.0 255.255.224.0
141.105.168.0 255.255.248.0
145.255.64.0 255.255.192.0
178.20.16.0 255.255.248.0
185.6.220.0 255.255.252.0
185.27.88.0 255.255.252.0
185.29.140.0 255.255.252.0
185.53.240.0 255.255.252.0
185.64.24.0 255.255.252.0
185.69.0.0 255.255.255.0
185.112.104.0 255.255.252.0
185.123.148.0 255.255.252.0
185.143.64.0 255.255.252.0
185.186.204.0 255.255.252.0
185.226.124.0 255.255.252.0
185.233.168.0 255.255.252.0
185.255.204.0 255.255.252.0
188.65.24.0 255.255.248.0
188.66.128.0 255.255.128.0
188.135.0.0 255.255.128.0
188.140.128.0 255.255.128.0
193.3.37.0 255.255.255.0
193.203.254.0 255.255.255.0
194.26.102.0 255.255.255.0
195.245.85.0 255.255.255.0
199.48.224.0 255.255.255.0
212.72.0.0 255.255.224.0
212.146.160.0 255.255.224.0
213.202.8.0 255.255.248.0
213.202.16.0 255.255.240.0
148.151.0.0 255.255.0.0
185.1.191.0 255.255.255.0
206.167.33.0 255.255.255.0
