134.202.0.0 255.255.0.0
136.145.0.0 255.255.0.0
164.42.0.0 255.255.0.0
192.65.176.0 255.255.255.0
192.75.187.0 255.255.255.0
192.101.169.0 255.255.255.0
192.107.111.0 255.255.255.0
192.152.164.0 255.255.255.0
192.160.174.0 255.255.255.0
192.160.175.0 255.255.255.0
192.160.176.0 255.255.255.0
192.189.95.0 255.255.255.0
192.207.48.0 255.255.255.0
192.231.92.0 255.255.255.0
192.231.93.0 255.255.255.0
192.231.94.0 255.255.254.0
192.231.96.0 255.255.254.0
196.1.2.0 255.255.255.0
196.1.141.0 255.255.255.0
196.3.8.0 255.255.252.0
196.3.12.0 255.255.254.0
196.12.0.0 255.255.248.0
196.12.8.0 255.255.254.0
198.204.71.0 255.255.255.0
198.204.72.0 255.255.255.0
198.245.139.0 255.255.255.0
198.245.255.0 255.255.255.0
199.71.93.0 255.255.255.0
200.5.2.0 255.255.254.0
200.5.4.0 255.255.252.0
200.5.8.0 255.255.255.0
200.5.11.0 255.255.255.0
204.27.224.0 255.255.255.0
204.124.99.0 255.255.255.0
204.144.78.0 255.255.255.0
204.154.228.0 255.255.255.0
207.174.136.0 255.255.255.0
208.83.38.0 255.255.255.0
208.95.36.0 255.255.252.0
