5.57.96.0 255.255.224.0
78.108.224.0 255.255.240.0
80.69.208.0 255.255.240.0
109.122.128.0 255.255.192.0
185.147.224.0 255.255.252.0
185.161.8.0 255.255.252.0
185.165.32.0 255.255.252.0
213.55.0.0 255.255.192.0
193.56.203.0 255.255.255.0
41.213.128.0 255.255.128.0
41.242.124.0 255.255.252.0
62.61.192.0 255.255.192.0
102.35.0.0 255.255.0.0
102.135.224.0 255.255.240.0
102.213.8.0 255.255.252.0
129.122.64.0 255.255.192.0
139.26.0.0 255.255.0.0
154.67.0.0 255.255.128.0
154.67.128.0 255.255.128.0
164.160.68.0 255.255.252.0
164.160.224.0 255.255.240.0
165.90.128.0 255.255.192.0
165.169.0.0 255.255.0.0
168.253.128.0 255.255.192.0
