5.0.0.0 255.255.0.0
5.104.128.0 255.255.248.0
5.134.200.0 255.255.248.0
5.134.224.0 255.255.224.0
5.155.0.0 255.255.0.0
31.9.0.0 255.255.0.0
31.14.164.0 255.255.252.0
31.193.64.0 255.255.240.0
37.48.128.0 255.255.192.0
37.48.192.0 255.255.224.0
45.132.196.0 255.255.252.0
46.40.128.0 255.255.192.0
46.53.0.0 255.255.192.0
46.53.64.0 255.255.248.0
46.53.72.0 255.255.248.0
46.53.80.0 255.255.240.0
46.53.96.0 255.255.224.0
46.57.128.0 255.255.128.0
46.58.128.0 255.255.128.0
46.161.202.0 255.255.254.0
46.161.204.0 255.255.252.0
46.213.0.0 255.255.0.0
62.16.80.0 255.255.240.0
77.44.128.0 255.255.128.0
78.110.96.0 255.255.240.0
78.155.64.0 255.255.224.0
79.141.224.0 255.255.240.0
80.70.120.0 255.255.248.0
82.97.208.0 255.255.248.0
82.97.216.0 255.255.248.0
82.100.128.0 255.255.224.0
82.100.160.0 255.255.240.0
82.100.176.0 255.255.248.0
82.137.192.0 255.255.192.0
83.150.200.0 255.255.252.0
84.39.192.0 255.255.252.0
88.86.0.0 255.255.224.0
89.33.56.0 255.255.248.0
89.33.224.0 255.255.248.0
89.34.162.0 255.255.254.0
89.41.138.0 255.255.254.0
89.41.140.0 255.255.252.0
89.45.128.0 255.255.240.0
89.47.80.0 255.255.248.0
90.153.128.0 255.255.128.0
91.144.0.0 255.255.192.0
93.113.164.0 255.255.252.0
93.114.208.0 255.255.248.0
93.118.48.0 255.255.240.0
94.47.0.0 255.255.128.0
94.47.128.0 255.255.192.0
94.47.192.0 255.255.192.0
94.102.80.0 255.255.248.0
94.102.92.0 255.255.252.0
94.141.192.0 255.255.224.0
94.143.120.0 255.255.252.0
94.252.128.0 255.255.128.0
95.140.96.0 255.255.240.0
95.159.0.0 255.255.192.0
95.212.0.0 255.255.128.0
95.212.128.0 255.255.240.0
95.212.144.0 255.255.240.0
95.212.160.0 255.255.240.0
